EgsNom;ContractId;ValuationId;ScenarioId;Key;Actual;Expected;AbsoluteDifference;RelativeDifference;Comment
1100LO0000000000169981--SWP;169981;DEFAULT;DEFAULT;OptRiskFreePV;-3255868,17501288;-3255868,17501649;-0,00000361;0,0000000000011087672491487525;
1100LO0000000000169981--SWP;169981;DEFAULT;DEFAULT;PV;313971,437353102;313971,437349495;-0,000003607;-0,0000000000114883061669824957;
1100LO0000000000169981--SWP;169981;DEFAULT;DEFAULT;RiskFreePV;313971,437353102;313971,437349495;-0,000003607;-0,0000000000114883061669824957;
1100LO0000000000173658--SWP;173658;DEFAULT;DEFAULT;OptRiskFreePV;-16713153,4570875;-16713153,4571077;-0,0000202;0,0000000000012086288833442047;
1100LO0000000000173658--SWP;173658;DEFAULT;DEFAULT;PV;-4401298,68590204;-4401298,68592229;-0,00002025;0,0000000000046009147402023662;
1100LO0000000000173658--SWP;173658;DEFAULT;DEFAULT;RiskFreePV;-4401298,68590204;-4401298,68592229;-0,00002025;0,0000000000046009147402023662;
1100LO0000000000174428--SWP;174428;DEFAULT;DEFAULT;OptRiskFreePV;-11689279,3890997;-11689279,389102;-0,0000023;0,0000000000001967614874655797;
1100LO0000000000174428--SWP;174428;DEFAULT;DEFAULT;PV;-2476132,20808209;-2476132,20808448;-0,00000239;0,0000000000009652150205061932;
1100LO0000000000174428--SWP;174428;DEFAULT;DEFAULT;RiskFreePV;-2476132,20808209;-2476132,20808448;-0,00000239;0,0000000000009652150205061932;
1100LO0000000000175302--SWP;175302;DEFAULT;DEFAULT;OptRiskFreePV;-1696204,50119634;-1696204,50119538;0,00000096;-0,0000000000005659694920765203;
1100LO0000000000175302--SWP;175302;DEFAULT;DEFAULT;PV;-1951957,11730458;-1951957,11730362;0,00000096;-0,0000000000004918140831524237;
1100LO0000000000175302--SWP;175302;DEFAULT;DEFAULT;RiskFreePV;-1951957,11730458;-1951957,11730362;0,00000096;-0,0000000000004918140831524237;
1100LO0000000000175440--SWP;175440;DEFAULT;DEFAULT;OptRiskFreePV;-573019,165982356;-573019,165984409;-0,000002053;0,0000000000035827771946867385;
1100LO0000000000175440--SWP;175440;DEFAULT;DEFAULT;PV;-2838707,11989588;-2838707,11989793;-0,00000205;0,000000000000722159741535855;
1100LO0000000000175440--SWP;175440;DEFAULT;DEFAULT;RiskFreePV;-2838707,11989588;-2838707,11989793;-0,00000205;0,000000000000722159741535855;
1100LO0000000000175483--SWP;175483;DEFAULT;DEFAULT;OptRiskFreePV;-6761021,5567099;-6761021,5567175;-0,0000076;0,0000000000011240904848850046;
1100LO0000000000175483--SWP;175483;DEFAULT;DEFAULT;PV;-16181484,51845;-16181484,5184576;-0,0000076;0,0000000000004696726058313463;
1100LO0000000000175483--SWP;175483;DEFAULT;DEFAULT;RiskFreePV;-16181484,51845;-16181484,5184576;-0,0000076;0,0000000000004696726058313463;
twst;177295;DEFAULT;DEFAULT;OptRiskFreePV;-25404791,1871151;-25404791,1871435;-0,0000284;0,0000000000011178993675178886;
